 CropScape Category,Lakeview Irrigation Company ,Deaver Irrigation District,Heart Mountain Irrigation District,Shoshone Irrigation District,Willwood Irrigation District,Midvale Irrigation District,Bridger Valley Water Conservancy District,Walker River Irrigation District,North Fork Water Conservancy,Costilla Livestock Co-Op,Price Valley Water Users Association,Little Wood River Irrigation District,Greenfields Irrigation District,Wallowa Lake Irrigation District,Stanfield Irrigation District,Westland Irrigation District,North Kern Water Supply District,Olcese Water District,Cawelo Water District,Henry Miller Water District,Rosedale Rio Bravo Water Supply District,Kern Delta Water District,Kaweah Water Conservation District,Buena Vista Water Supply District,Kittias Division,Sunnyside Division,Wapato Division,Kennewick Division,Tietan Division,Rosa Division
Corn,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Sileage Corn,Field Corn (moderate lengthed se,Sileage Corn,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Grass Pasture (Low Management)  ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Cotton,,,,,,,,Potatoes - baking (late harvest) ,,Cotton,,,,,,,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,,,,,,
Rice,,,,,,,,,,,,,,,,,Cotton ,Cotton ,Cotton ,Cotton ,Cotton ,Alfalfa Hay  ,Rice,Cotton ,,,,,,
Sorghum,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,Field Corn (moderate lengthed se,Sileage Corn,Sorghum After Another Crop,Sileage Corn,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Soybeans,,Field Corn (moderate lengthed se,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Sileage Corn,,,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,,,,,,,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Sunflower,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Sileage Corn,Sunflower,Sileage Corn,,Spring Grain - Irrigated   ,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Peanuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field Corn (moderate lengthed se,,
Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,Hops,Hops,Hops,Hops,Hops
Sweet Corn,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,,Sileage Corn,,Sileage Corn,,Spring Grain - Irrigated   ,Grass Pasture (Low Management),Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Grass Pasture (High Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Pop or Orn Corn,,,,,,,,,,,,Spring Grain - Irrigated   ,,Grass Pasture (Low Management)  ,,,,,,,,,,,,,,,,
Mint,,,,,,,,Garden Vegetables (general)  ,,,,,,Grass Pasture (Low Management)  ,Mint      ,Mint      ,,,,,,,,,Grass Pasture (Low Management) ,Hops,Hops,Hops,Hops,Hops
Barley,Spring Grain - Irrigated        ,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated   ,Spring Grain - Irrigated ,Spring Grain - Irrigated        ,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (High Management) ,Hops,Hops,Hops,Hops,Hops
Durum Wheat,,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated  ,Spring Grain - Irrigated ,Spring Grain - Irrigated        ,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (Low Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Spring Wheat,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated  ,Spring Grain - Irrigated ,Spring Grain - Irrigated        ,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (High Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Winter Wheat,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Winter Grain - Irrigated  ,Winter Grain - Irrigated  ,Winter Grain - Irrigated  ,Spring Grain - Irrigated        ,Winter Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Grass Pasture (High Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Other Small Grains,,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated  ,Spring Grain - Irrigated ,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (High Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Dbl Crop WinWht/Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rye,,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,,Spring Grain - Irrigated        ,Spring Grain - Irrigated  ,Spring Grain - Irrigated ,Spring Grain - Irrigated  ,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (High Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Oats,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated  ,Spring Grain - Irrigated ,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (High Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Millet,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,,Spring Grain - Irrigated        ,Spring Grain - Irrigated  ,Spring Grain - Irrigated ,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,Spring Grain - Irrigated,,,,,,,,,,,,,,,,
Speltz,,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,,,Spring Grain - Irrigated  ,,,,Spring Grain - Irrigated  ,,,,,,,,,,,,Grass Pasture (High Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Canola,,,,,,,,,,Spring Grain - Irrigated  ,,,Spring Grain - Irrigated  ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (Low Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Flaxseed,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,,,Spring Grain - Irrigated        ,,Spring Grain - Irrigated        ,,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,,,,,,,,,,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Safflower,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,,,Spring Grain - Irrigated        ,,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,,Spring Grain - Irrigated   ,Spring Grain - Irrigated        ,Safflower - Irrigated,Safflower - Irrigated,Safflower - Irrigated,Safflower - Irrigated,Safflower - Irrigated,Safflower - Irrigated,Safflower - Irrigated,Safflower - Irrigated,,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Rape Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter Grain - Irrigated    ,,,
Mustard,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Spring Grain - Irrigated        ,Grass Pasture (Low Management) ,Grass Pasture (Low Management) ,,,,,,Spring Grain - Irrigated   ,Spring Grain - Irrigated   ,Grass Pasture (Low Management),Spring Grain - Irrigated   ,Grass Pasture (High Management) ,,,,,,,,,Grass Pasture (Low Management) ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    ,Winter Grain - Irrigated    
Alfalfa,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  ,Alfalfa Hay  
Other Hay/Non Alfalfa,Alfalfa Hay  ,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Alfalfa Hay  ,Grass Hay,Alfalfa Hay  ,Grass Hay     ,Alfalfa Hay  ,Alfalfa Hay  ,Grass Hay     ,Grass Hay     ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) 
Camelina,,Grass Hay,Grass Hay,Grass Hay,Grass Hay,,,,,,,,Spring Grain - Irrigated        ,Spring Grain - Irrigated        ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,,,,,,,,,,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) 
Buckwheat,,,,,,,,Spring Grain - Irrigated        ,,,,,Spring Grain - Irrigated        ,,Grass Pasture (High Management) ,Grass Pasture (High Management) ,,,,,,,,,Grass Hay,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) ,Grass Pasture (High Management) 
Sugarbeets,Spring Grain - Irrigated        ,Sugar beets,Sugar beets,Sugar beets,Sugar beets,Sugar beets,,Garden Vegetables (general)  ,,,,Sugar beets,,Grass Pasture (Low Management)  ,Potatoes - baking (late harvest),Potatoes - baking (late harvest),Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Dry Beans,Spring Grain - Irrigated        ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Spring Grain - Irrigated        ,,Sileage Corn,Snap and Dry Beans - seed,Garden Vegetables (general),Snap and Dry Beans - fresh,Potatoes - baking (late harvest),Grass Pasture (Low Management),Potatoes - baking (late harvest),Potatoes - baking (late harvest),Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Snap and Dry Beans - seed  ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Potatoes,,,,,,,,Garden Vegetables (general)  ,Carrots  ,Potatoes - baking (late harvest),,Potatoes - baking (late harvest),Potatoes - baking (late harvest),Grass Pasture (Low Management)  ,Potatoes - baking (late harvest),Potatoes - baking (late harvest),Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Other Crops,Spring Grain - Irrigated        ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,Field Corn (moderate lengthed se,Sileage Corn,Field Corn (moderate lengthed se,,Potatoes - baking (late harvest),Potatoes - baking (late harvest),,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Potatoes,,,,,,,,,,,,,,,Potatoes - baking (late harvest),Potatoes - baking (late harvest),Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Misc Vegs & Fruits,,,,,,,,,Carrots  ,,,,Potatoes - baking (late harvest),Grass Pasture (Low Management)  ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Watermelons,,,,,,,,,,,Garden Vegetables (general),,,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Melons,Garden Vegetables (general) ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Onions,,,,,,,,Garden Vegetables (general)  ,Carrots  ,Potatoes - baking (late harvest),,Potatoes - baking (late harvest),,,Garlic ,Garlic ,Onions ,Onions ,Onions ,Onions ,Onions ,Onions ,Onions ,Onions ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Cucumbers,,,,,,,,,,,,,,,Potatoes - baking (late harvest),Garlic ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Chick Peas,,,,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,,,,,,,Potatoes - baking (late harvest),,,Garlic ,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Lentils,,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,,,,,,,,Potatoes - baking (late harvest),Grass Pasture (Low Management),,,,,,,,,,,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Peas,,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,Snap and Dry Beans - seed   ,,Garden Vegetables (general)  ,Carrots  ,Peppers,,Snap and Dry Beans - fresh,Potatoes - baking (late harvest),Grass Pasture (Low Management),Potatoes - baking (late harvest),Potatoes - baking (late harvest),Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Peas--fresh,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Tomatoes,,,,,,,,,,,,,,,,,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Garden Vegetables (general) ,Tomatoes,Garden Vegetables (general) ,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Caneberries,,,,,,Field Corn (moderate lengthed se,,,,,,,,,,,,,,,,,,,Grass Pasture (Low Management) ,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se,Field Corn (moderate lengthed se
Hops,,,,,,,,,Spring Grain - Irrigated  ,,,,,Spring Grain - Irrigated,Mint      ,Mint      ,,,,,,,,,Grass Pasture (Low Management) ,Hops,Hops,Hops,Hops,Hops
Herbs,,,,,,,,Garden Vegetables (general)  ,,,,,Spring Grain - Irrigated   ,Grass Pasture (Low Management)  ,Mint      ,Mint      ,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Hay,Grass Pasture (Low Management) ,Hops,Hops,Hops,Hops,Hops
